state,MAE_14,RMSE_14,temporal,mobility,vaccine,environment
Alabama,0.457418,0.943511,0.124668,0.186382,0.239007,0.169783
Alaska,0.495993,1.202154,0.209907,0.151609,0.283056,0.287142
Arizona,0.258625,0.509015,0.162883,0.193238,0.276723,0.236095
Arkansas,0.122088,0.163663,0.079556,0.165552,0.403377,0.19645
California,0.346647,0.855664,0.530854,0.266351,0.293558,0.16916
Colorado,0.240278,0.31556,0.119058,0.177983,0.291801,0.150853
Connecticut,0.325978,0.884772,0.165022,0.216505,0.305682,0.211456
Delaware,0.304701,0.549578,0.1499,0.193086,0.273437,0.242954
Florida,0.399369,0.943575,0.368534,0.158344,0.228591,0.256387
Georgia,0.347967,0.674549,0.188221,0.426531,0.194485,0.146097
Hawaii,0.786176,1.584284,0.261599,0.21132,0.331403,0.226007
Idaho,0.257681,0.392759,0.150182,0.17556,0.290187,0.201215
Illinois,0.301065,0.762309,0.208242,0.29138,0.340139,0.272343
Indiana,0.300363,0.587118,0.175908,0.31537,0.21982,0.237414
Iowa,0.302823,0.593859,0.149331,0.215354,0.210377,0.235766
Kansas,0.106288,0.216677,0.158685,0.190056,0.445256,0.283277
Kentucky,0.364074,0.652444,0.170012,0.239711,0.277265,0.210855
Louisiana,0.203229,0.330951,0.115742,0.171918,0.264165,0.254325
Maine,0.406279,0.814764,0.215145,0.125513,0.398885,0.194523
Maryland,0.415597,1.058359,0.131566,0.197875,0.315254,0.185909
Massachusetts,0.340846,0.867736,0.167246,0.168193,0.40362,0.250414
Michigan,0.443122,0.970045,0.215513,0.21343,0.247289,0.190863
Minnesota,0.317662,0.648824,0.158302,0.164885,0.303513,0.235897
Mississippi,0.371402,0.808642,0.171307,0.188888,0.196164,0.275651
Missouri,0.312484,0.550696,0.13504,0.214922,0.236682,0.227831
Montana,0.29096,0.513357,0.181291,0.177668,0.237313,0.202911
Nebraska,0.298914,0.716293,0.153736,0.196772,0.234139,0.260415
Nevada,0.34933,0.877547,0.142913,0.213244,0.256477,0.206683
New Hampshire,0.42606,1.034527,0.173446,0.155395,0.315577,0.30211
New Jersey,0.275237,0.617045,0.16644,0.174272,0.346356,0.205977
New Mexico,0.351593,0.805752,0.182039,0.127337,0.305648,0.199478
North Carolina,0.381566,0.96468,0.221513,0.302216,0.294911,0.24087
North Dakota,0.22531,0.409722,0.17173,0.207833,0.222246,0.220213
Ohio,0.260053,0.43851,0.157378,0.34253,0.24547,0.295238
Oklahoma,0.400391,0.824167,0.159825,0.185934,0.249926,0.231507
Oregon,0.451459,0.992206,0.188551,0.139208,0.261615,0.183712
Pennsylvania,0.295206,0.461109,0.199207,0.223098,0.247502,0.235714
Rhode Island,0.372787,1.1113,0.16876,0.186197,0.319782,0.236337
South Carolina,0.424411,1.174474,0.189897,0.186399,0.268324,0.196505
South Dakota,0.264203,0.518667,0.172261,0.235101,0.246161,0.242854
Tennessee,0.342158,0.780004,0.178935,0.21875,0.246351,0.24573
Texas,0.407644,0.626921,0.375053,1.017996,0.25961,0.22377
Utah,0.285753,0.79029,0.174446,0.169784,0.260782,0.229838
Vermont,0.611396,1.317718,0.232946,0.176953,0.342647,0.181461
Virginia,0.377358,0.783935,0.173338,0.455799,0.300383,0.250982
Washington,0.504468,1.180097,0.196779,0.149163,0.297348,0.207138
West Virginia,0.390126,0.686228,0.167579,0.18592,0.22911,0.223293
Wisconsin,0.250726,0.766527,0.166877,0.210197,0.270923,0.252895
Wyoming,0.316844,0.627134,0.180916,0.20089,0.285214,0.211734
